"Direction","Outbound",,,,,,,,,,,,,,
"Start Date","9/6/2010",,,,,,,,,,,,,,
"End Date","9/6/2011",,,,,,,,,,,,,,
"Route","Days","Display Name","Regional Transportation Center","CAROSEL CENTER","DOWNTOWN Fayette & Salina Sts.","Civic Center State & Madison Sts.","Upstate University Hosp. Stop is on Sarah Loguen","College Place","Thurber & Alden","Jamesville & Thurber","Loretto","Brighton Towers","Nob Hill Apartments","Iroquois Nursing Home","NOTE"
,,,"43.076556,-76.169244","43.06975,-76.175875","43.048682,-76.152233","43.045482,-76.147504","43.04268,-76.140556","43.037288,-76.131468","43.018619,-76.132921","43.019031,-76.13091","43.009982,-76.133228","43.004545,-76.130792","43.000214,-76.128175","42.995521,-76.120107",
"240","W","SU - Nob Hill",,,"5:40","5:42","5:45","5:50","5:58",,,"6:01",,"6:10",
"240","W","SU - Nob Hill",,,"6:10","6:12","6:15","6:20","6:28",,"6:32","6:35",,"6:40",
"240","W","SU - Nob Hill",,,"6:40","6:43","6:47","6:53","17:01",,,"17:04","17:15",,
"240","W","SU - Nob Hill",,,"6:55","6:58","7:02","7:08","7:16",,,"7:19","7:28","7:35",
"240","W","SU - Nob Hill",,,"7:22","7:25","7:29","7:35","7:43",,"7:47","7:50","7:57",,
"240","W","SU - Nob Hill","7:53",,"8:20","8:23","8:27","8:33","8:41",,,"8:44","8:53","9:00","9"
"240","W","SU - Nob Hill","8:55","9:03","9:20","9:23","9:27","9:33","9:41",,"9:45","9:48","9:55","10:00",
"240","W","SU - Nob Hill","10:05","10:13","10:30","10:33","10:37","10:43","10:51",,"10:55","10:58","11:05","11:10",
"240","W","SU - Nob Hill","11:15","11:23","11:40","11:43","11:47","11:53","12:01",,"12:05","12:08","12:15","12:20",
"240","W","SU - Nob Hill","12:25","12:33","12:50","12:53","12:57","13:03","13:11",,"13:15","13:18","13:25","13:30",
"240","W","SU - Nob Hill","13:35","13:43","14:00","14:03","14:07","14:13","14:21",,"14:25","14:28","14:35","14:40",
"240","W","SU - Nob Hill","14:45","14:53","15:10","15:13","15:17","15:23","15:31",,,"15:34","15:45",,
"240","W","SU - Nob Hill","15:55","16:03","16:15","15:18","16:22","16:28","16:36",,,"16:39","16:50",,
"240","W","SU - Nob Hill","16:43","16:55","17:10","17:13","17:17","17:23","17:31",,,"17:34","17:45",,
"240","W","SU - Nob Hill",,,"17:35","17:38","17:42","17:48","17:56",,,"17:59","18:06","18:11",
"240","W","SU - Nob Hill","17:45","17:53","18:05","18:08","18:12","18:18","18:26",,,"18:29","18:36",,
"240","W","SU - Nob Hill","18:20","18:28","18:45","18:48","18:52","18:58","19:06",,,"19:09","19:20",,
"240","W","SU - Nob Hill","19:55","20:03","20:20","20:23","20:27","20:33","20:41",,"20:45","20:48","20:53","20:55",
"240","W","SU - Nob Hill",,,"21:35","21:38","21:42","21:48","21:56",,,"21:59","22:03",,
"240","W","SU - Nob Hill",,,"22:35","22:37",,,,,"22:50",,"22:55","23:00","4"
"240","W","SU - Nob Hill",,,"23:35","23:37",,,,,"23:50",,"23:55","24:00","5"
"40","S","SU",,,"6:30","6:33","6:37","6:45",,,,,,,
"240","S","SU - Nob Hill",,,"8:00","8:03","8:07","8:13","8:21",,"8:25","8:28","8:40",,
"240","S","SU - Nob Hill","8:40","8:48","9:05","9:08","9:12","9:18","9:26",,"9:30","9:33","9:40","9:45",
"240","S","SU - Nob Hill","9:40","9:48","10:05","10:08","10:12","10:18","10:26",,"10:30","10:33","10:40","10:45",
"240","S","SU - Nob Hill","10:50","10:58","11:15","11:18","11:22","11:28","11:36",,"11:40","11:43","11:50","11:55",
"240","S","SU - Nob Hill","12:00","12:08","12:25","12:28","12:32","12:38","12:46",,"12:50","12:53","13:00","13:05",
"240","S","SU - Nob Hill","13:10","13:18","13:35","13:38","13:42","13:48","13:56",,"14:00","14:03","14:10","14:15",
"240","S","SU - Nob Hill","14:20","14:28","14:45","14:48","14:52","15:58","15:06",,"15:10","15:13","15:20","15:25",
"240","S","SU - Nob Hill","15:30","15:38","15:55","15:58","16:02","16:08","16:16",,"16:20","16:23","16:30","16:35",
"240","S","SU - Nob Hill","17:10","17:18","17:40","17:43","17:47","17:53","18:01",,,"18:04","18:20",,"6"
"140","S","SU - Thurber","17:45","17:53","18:10","18:13","18:17","18:23",,"18:35",,,,,
"140","S","SU - Thurber","18:52","19:00","19:15","19:18","19:22","19:28",,"19:40",,,,,"6"
"240","S","SU - Nob Hill",,,"20:20","20:23","20:27","20:33","20:41",,"20:45","20:48","20:50","20:55",
"140","S","SU - Thurber","21:14","21:22","21:35","21:38","21:42","21:48",,"22:00",,,,,"6"
"240","S","SU - Nob Hill","21:59","22:07","22:35","22:37",,,,,"22:47",,"22:51","22:55","4"
"140","S","SU - Thurber",,,"22:35","22:38","22:42","22:48",,"23:00",,,,,"6"
"240","U","SU - Nob Hill",,,"6:30","6:32","6:35","6:40","6:47",,"6:50",,"6:54","6:58",
"240","U","SU - Nob Hill",,,"8:30","8:33","8:37","8:42","8:49",,,,"8:58",,
"240","U","SU - Nob Hill","10:14","10:22","10:40","10:43","10:47","10:53","11:01",,,"11:04","11:10",,
"240","U","SU - Nob Hill","12:34","12:42","13:00","13:03","13:07","13:13","13:21",,,"12:24","13:30",,
"240","U","SU - Nob Hill","13:44","13:52","14:10","14:13","14:17","14:23","14:31",,"14:35","14:38","14:40","14:45",
"240","U","SU - Nob Hill","14:54","15:02","15:20","15:23","15:27","15:33","15:41",,,,"15:48",,
"240","U","SU - Nob Hill","16:04","15:12","16:30","16:33","16:37","16:42","16:49",,"16:53","16:56",,"16:58",
"140","U","SU - Thurber","17:40","17:48","17:58","18:01","18:05","18:11","18:20",,,,,,"6"
"240","U","SU - Nob Hill","17:42","17:50","18:10","18:13","18:17","18:23","18:30",,,"18:33","18:38",,
"240","U","SU - Nob Hill",,,"19:15","19:18","19:22","19:27","19:34",,"19:38","19:41","19:43",,
"240","U","SU - Nob Hill",,,"20:20","20:23","20:27","20:33","20:41",,"20:45","20:48","20:50",,
"140","U","SU - Thurber",,,"21:35","21:38","21:42","21:48",,"22:00",,,,,"6"
"140","U","SU - Thurber",,,"22:35","22:38","22:42","22:48",,"23:00",,,,,"6"
"140","U","SU - Thurber",,,"23:35","23:38","23:42","23:48",,"24:00",,,,,"6"
